name,minutes,distance,max_speed,sprints,speed_0,speed_25,speed_50,speed_75
Ronaldo,90,10500,33.2,24,0,15.8,25.4,30.6
Messi,88,9800,31.7,19,0,14.9,23.8,29.1
Mbappe,92,11200,36.4,31,0,17.5,28.1,33.5
Haaland,89,10800,35.8,27,0,16.9,27.3,32.9
Vinicius,86,10300,35.1,29,0,16.2,26.4,32.0
Salah,91,10700,34.6,26,0,16.0,25.8,31.5
Neymar,84,9500,33.8,22,0,15.5,25.1,30.9
Kane,93,10100,32.4,18,0,14.8,24.2,29.6
De Bruyne,90,11000,31.9,17,0,14.3,23.6,29.0
Bellingham,94,11500,34.2,25,0,15.7,25.6,31.2
Lewandowski,87,9700,32.8,20,0,15.0,24.5,30.0
Son,89,10600,34.9,28,0,16.1,26.1,31.8
Saka,85,10200,33.5,23,0,15.3,25.0,30.5
Foden,88,10900,33.1,21,0,15.1,24.7,30.2
Griezmann,92,11100,32.6,19,0,14.9,24.3,29.8
Rodrygo,83,9900,34.4,26,0,15.9,25.7,31.4
Osimhen,90,10400,35.3,30,0,16.4,26.7,32.3
Musiala,86,10100,33.7,24,0,15.4,25.2,30.8
Rashford,87,10500,34.8,27,0,16.0,26.0,31.7
Kvaratskhelia,84,10000,33.9,25,0,15.6,25.4,31.0
